tabla;id;maquina;n_bloque;material;operacion;fecha_hora;create_date
parte_discopuente_mapeada;69936;1;46396;90;0;Fri Dec 11 2026 10:20:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69935;1;46389;90;0;Fri Dec 11 2026 07:39:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69934;1;46389;90;0;Thu Dec 10 2026 19:53:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69933;1;46374;90;0;Thu Dec 10 2026 19:06:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69932;1;46374;90;0;Thu Dec 10 2026 17:00:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69931;1;46367;90;0;Thu Dec 10 2026 12:13:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69930;1;46367;90;0;Thu Dec 10 2026 09:43:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_trabajo_mapeada;52675;3;0;;0;Wed Dec 09 2026 20:56:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:00:05 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69929;1;46368;90;0;Wed Dec 09 2026 11:58:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69928;1;46368;90;0;Wed Dec 09 2026 10:07:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69927;1;46377;90;0;Wed Dec 09 2026 07:46:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69926;1;46377;90;0;Wed Dec 09 2026 05:47:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69925;1;46377;90;0;Sat Dec 05 2026 10:56:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69924;1;46315;71;0;Fri Dec 04 2026 19:37:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69923;1;46315;71;0;Fri Dec 04 2026 14:50:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
parte_discopuente_mapeada;69922;1;46315;71;0;Fri Dec 04 2026 14:05:00 GMT+0100 (hora estándar de Europa central);Thu Jan 01 2026 00:03:18 GMT+0100 (hora estándar de Europa central)
